1pctl,10pctl,50pctl,90pct,99pct,stddev,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
7.17E-05,7.23E-05,7.30E-05,7.39E-05,0.000104016,4.22E-06,1506, Start, Scatter(355893104), yl(366722768), PostRecv, StreamSync(355893104), PostSend, WaitRecv, WaitSend, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.16E-05,7.23E-05,7.31E-05,7.43E-05,0.000104944,4.77E-06,1453, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), WaitSend, End,
7.18E-05,7.23E-05,7.31E-05,7.41E-05,0.000103601,4.10E-06,1429, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostRecv, PostSend, WaitSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.17E-05,7.23E-05,7.30E-05,7.39E-05,0.000104485,4.85E-06,1900, Start, Scatter(355893104), PostRecv, yl(366722768), StreamSync(355893104), PostSend, WaitSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.17E-05,7.23E-05,7.31E-05,7.40E-05,9.76E-05,3.66E-06,2384, Start, PostRecv, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, WaitRecv, WaitSend, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.19E-05,7.23E-05,7.31E-05,7.40E-05,9.99E-05,3.69E-06,1884, Start, Scatter(355893104), PostRecv, yl(366722768), StreamSync(355893104), PostSend, WaitRecv, yr(355893104), WaitSend, StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.18E-05,7.23E-05,7.30E-05,7.40E-05,0.000101943,4.32E-06,1411, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(355893104), WaitSend, StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.17E-05,7.23E-05,7.31E-05,7.40E-05,0.000102691,4.40E-06,2390, Start, PostRecv, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, WaitSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.18E-05,7.23E-05,7.31E-05,7.40E-05,0.000102943,4.06E-06,1447, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(355893104), StreamWait(366722768/355893104), WaitSend, y(366722768), StreamSync(366722768), End,
7.18E-05,7.23E-05,7.30E-05,7.40E-05,0.000104709,5.17E-06,1405, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), WaitSend, End,
7.18E-05,7.23E-05,7.30E-05,7.39E-05,0.000101588,3.78E-06,1512, Start, Scatter(355893104), yl(366722768), PostRecv, StreamSync(355893104), PostSend, WaitSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.17E-05,7.23E-05,7.30E-05,7.39E-05,0.000104724,4.90E-06,2388, Start, PostRecv, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, WaitSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.17E-05,7.23E-05,7.31E-05,7.40E-05,0.000101566,3.63E-06,1423, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostRecv, PostSend, WaitRecv, WaitSend, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.18E-05,7.23E-05,7.32E-05,7.41E-05,0.000104498,4.77E-06,1446, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), WaitSend, StreamSync(366722768), End,
7.19E-05,7.23E-05,7.31E-05,7.41E-05,9.84E-05,3.71E-06,1878, Start, Scatter(355893104), PostRecv, yl(366722768), StreamSync(355893104), PostSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), WaitSend, End,
7.18E-05,7.24E-05,7.32E-05,7.42E-05,9.49E-05,5.82E-06,1902, Start, Scatter(355893104), PostRecv, yl(366722768), StreamSync(355893104), PostSend, WaitSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.18E-05,7.24E-05,7.32E-05,7.41E-05,0.000103677,3.91E-06,1413, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), WaitSend, End,
7.18E-05,7.24E-05,7.32E-05,7.42E-05,0.000105023,4.92E-06,1514, Start, Scatter(355893104), yl(366722768), PostRecv, StreamSync(355893104), PostSend, WaitSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.19E-05,7.24E-05,7.31E-05,7.41E-05,0.000103455,4.95E-06,2372, Start, PostRecv, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, WaitRecv, yr(355893104), WaitSend, StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.19E-05,7.24E-05,7.32E-05,7.41E-05,0.000100994,4.17E-06,1896, Start, Scatter(355893104), PostRecv, yl(366722768), StreamSync(355893104), PostSend, WaitRecv, WaitSend, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.18E-05,7.24E-05,7.31E-05,7.41E-05,0.0001035,3.94E-06,2366, Start, PostRecv, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), WaitSend, End,
7.19E-05,7.24E-05,7.32E-05,7.40E-05,0.000101045,8.65E-06,1496, Start, Scatter(355893104), yl(366722768), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(355893104), WaitSend, StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.18E-05,7.24E-05,7.32E-05,7.41E-05,9.74E-05,3.69E-06,1407, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), WaitSend, y(366722768), StreamSync(366722768), End,
7.18E-05,7.24E-05,7.32E-05,7.41E-05,8.47E-05,2.98E-06,1406, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), WaitSend, StreamSync(366722768), End,
7.18E-05,7.24E-05,7.32E-05,7.41E-05,0.000100059,3.47E-06,1490, Start, Scatter(355893104), yl(366722768), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), WaitSend, End,
7.20E-05,7.24E-05,7.32E-05,7.42E-05,0.000103787,4.40E-06,2368, Start, PostRecv, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), WaitSend, y(366722768), StreamSync(366722768), End,
7.18E-05,7.24E-05,7.32E-05,7.41E-05,9.85E-05,4.05E-06,1458, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(366722768), WaitSend, StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.19E-05,7.24E-05,7.32E-05,7.41E-05,9.63E-05,3.65E-06,1880, Start, Scatter(355893104), PostRecv, yl(366722768), StreamSync(355893104), PostSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), WaitSend, y(366722768), StreamSync(366722768), End,
7.18E-05,7.24E-05,7.32E-05,7.42E-05,0.000104105,5.97E-06,1418, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(366722768), WaitSend, StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.18E-05,7.24E-05,7.32E-05,7.43E-05,0.000105273,5.43E-06,1455, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(366722768), StreamWait(355893104/366722768), WaitSend, y(355893104), StreamSync(355893104), End,
7.18E-05,7.24E-05,7.32E-05,7.41E-05,0.000102737,3.93E-06,1508, Start, Scatter(355893104), yl(366722768), PostRecv, StreamSync(355893104), PostSend, WaitRecv, WaitSend, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.17E-05,7.24E-05,7.32E-05,7.42E-05,0.000103619,3.92E-06,1498, Start, Scatter(355893104), yl(366722768), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), WaitSend, End,
7.17E-05,7.24E-05,7.33E-05,7.43E-05,0.000104683,4.52E-06,1414, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), WaitSend, StreamSync(355893104), End,
7.19E-05,7.24E-05,7.33E-05,7.42E-05,9.82E-05,4.24E-06,1886, Start, Scatter(355893104), PostRecv, yl(366722768), StreamSync(355893104), PostSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), WaitSend, End,
7.18E-05,7.24E-05,7.32E-05,7.41E-05,0.000104796,4.48E-06,1891, Start, Scatter(355893104), PostRecv, yl(366722768), StreamSync(355893104), PostSend, WaitRecv, yr(366722768), WaitSend, StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.20E-05,7.25E-05,7.33E-05,7.42E-05,0.000106091,5.15E-06,1492, Start, Scatter(355893104), yl(366722768), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), WaitSend, y(366722768), StreamSync(366722768), End,
7.20E-05,7.25E-05,7.32E-05,7.42E-05,0.000103226,4.02E-06,2367, Start, PostRecv, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), WaitSend, StreamSync(366722768), End,
7.20E-05,7.25E-05,7.33E-05,7.42E-05,0.000105002,4.14E-06,2379, Start, PostRecv, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, WaitRecv, yr(366722768), WaitSend, StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.19E-05,7.25E-05,7.32E-05,7.41E-05,9.62E-05,3.53E-06,1503, Start, Scatter(355893104), yl(366722768), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(366722768), WaitSend, StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.21E-05,7.25E-05,7.33E-05,7.42E-05,0.000102751,4.82E-06,1879, Start, Scatter(355893104), PostRecv, yl(366722768), StreamSync(355893104), PostSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), WaitSend, StreamSync(366722768), End,
7.19E-05,7.25E-05,7.32E-05,7.41E-05,0.000104596,4.50E-06,2374, Start, PostRecv, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), WaitSend, End,
7.18E-05,7.25E-05,7.33E-05,7.44E-05,0.000105007,4.95E-06,2376, Start, PostRecv, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), WaitSend, y(355893104), StreamSync(355893104), End,
7.19E-05,7.25E-05,7.34E-05,7.43E-05,9.27E-05,3.29E-06,1888, Start, Scatter(355893104), PostRecv, yl(366722768), StreamSync(355893104), PostSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), WaitSend, y(355893104), StreamSync(355893104), End,
7.20E-05,7.25E-05,7.33E-05,7.43E-05,0.000104422,4.04E-06,1491, Start, Scatter(355893104), yl(366722768), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), WaitSend, StreamSync(366722768), End,
7.18E-05,7.25E-05,7.33E-05,7.43E-05,0.000103156,4.30E-06,1454, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), WaitSend, StreamSync(355893104), End,
7.19E-05,7.25E-05,7.33E-05,7.43E-05,9.77E-05,3.85E-06,1499, Start, Scatter(355893104), yl(366722768), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), WaitSend, StreamSync(355893104), End,
7.19E-05,7.25E-05,7.33E-05,7.43E-05,9.37E-05,3.29E-06,1415, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), WaitSend, y(355893104), StreamSync(355893104), End,
7.19E-05,7.26E-05,7.34E-05,7.44E-05,0.000102308,4.40E-06,1500, Start, Scatter(355893104), yl(366722768), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), WaitSend, y(355893104), StreamSync(355893104), End,
7.19E-05,7.26E-05,7.34E-05,7.43E-05,0.000100259,4.09E-06,2375, Start, PostRecv, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), WaitSend, StreamSync(355893104), End,
7.19E-05,7.26E-05,7.34E-05,7.43E-05,0.000104715,4.88E-06,1887, Start, Scatter(355893104), PostRecv, yl(366722768), StreamSync(355893104), PostSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), WaitSend, StreamSync(355893104), End,
7.55E-05,7.62E-05,7.72E-05,7.84E-05,0.000106616,4.69E-06,1166, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, WaitSend, yl(355893104), yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.54E-05,7.62E-05,7.72E-05,7.83E-05,9.58E-05,3.31E-06,1167, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, WaitSend, yr(355893104), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.55E-05,7.62E-05,7.71E-05,7.80E-05,0.00010672,4.62E-06,1765, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, WaitSend, yl(355893104), yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.56E-05,7.63E-05,7.71E-05,7.80E-05,0.00010393,3.69E-06,1797, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitSend, WaitRecv, yl(355893104), yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.56E-05,7.63E-05,7.71E-05,7.82E-05,0.00010649,5.50E-06,1796, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitSend, WaitRecv, yr(355893104), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.57E-05,7.63E-05,7.71E-05,7.82E-05,0.000109351,5.01E-06,1784, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitSend, yl(355893104), WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.56E-05,7.63E-05,7.70E-05,7.80E-05,0.000101746,3.56E-06,1764, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, WaitSend, yr(355893104), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.55E-05,7.63E-05,7.72E-05,7.83E-05,0.00010624,5.00E-06,1199, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitSend, WaitRecv, yl(355893104), yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.56E-05,7.63E-05,7.73E-05,7.85E-05,0.000107161,4.74E-06,900, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitSend, WaitRecv, yr(355893104), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.56E-05,7.63E-05,7.72E-05,7.85E-05,0.000107841,5.25E-06,1213, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitSend, WaitRecv, yr(366722768), yl(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.57E-05,7.63E-05,7.72E-05,7.84E-05,0.000104537,4.34E-06,1108, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(355893104), WaitSend, yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.57E-05,7.63E-05,7.72E-05,7.81E-05,0.000107164,4.07E-06,1706, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(355893104), WaitSend, yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.57E-05,7.63E-05,7.72E-05,7.84E-05,0.000106173,3.96E-06,1198, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitSend, WaitRecv, yr(355893104), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.57E-05,7.63E-05,7.73E-05,7.83E-05,0.000100504,3.54E-06,868, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, WaitSend, yl(355893104), yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.57E-05,7.63E-05,7.72E-05,7.83E-05,0.000101803,3.39E-06,1181, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, WaitSend, yl(366722768), yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.57E-05,7.63E-05,7.71E-05,7.80E-05,0.000105905,4.18E-06,1778, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, WaitSend, yr(366722768), yl(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.55E-05,7.63E-05,7.72E-05,7.82E-05,0.000105877,4.85E-06,1707, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yl(355893104), WaitSend, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.56E-05,7.63E-05,7.73E-05,7.85E-05,0.000108451,4.77E-06,1077, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(355893104), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), WaitSend, End,
7.57E-05,7.63E-05,7.73E-05,7.85E-05,0.000103309,3.51E-06,914, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitSend, WaitRecv, yl(366722768), yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.57E-05,7.64E-05,7.72E-05,7.83E-05,0.000104955,3.69E-06,869, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, WaitSend, yr(355893104), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.56E-05,7.64E-05,7.72E-05,7.82E-05,0.000105689,4.99E-06,1675, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(355893104), yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), WaitSend, End,
7.58E-05,7.64E-05,7.74E-05,7.85E-05,9.95E-05,3.50E-06,778, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yl(355893104), yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), WaitSend, End,
7.57E-05,7.64E-05,7.72E-05,7.84E-05,0.000106505,3.94E-06,1180, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, WaitSend, yr(366722768), yl(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.57E-05,7.64E-05,7.73E-05,7.84E-05,0.000109549,5.39E-06,1109, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yl(355893104), WaitSend, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.57E-05,7.64E-05,7.73E-05,7.84E-05,0.000103144,3.48E-06,1087, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yl(355893104), yr(355893104), WaitSend, StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.58E-05,7.64E-05,7.72E-05,7.82E-05,0.000104121,3.52E-06,1811, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitSend, WaitRecv, yl(366722768), yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.56E-05,7.64E-05,7.73E-05,7.85E-05,0.000110675,5.00E-06,1186, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitSend, yl(355893104), WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.57E-05,7.64E-05,7.73E-05,7.84E-05,0.000105906,5.05E-06,888, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitSend, yl(355893104), WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.58E-05,7.64E-05,7.71E-05,7.82E-05,0.00010558,4.49E-06,1810, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitSend, WaitRecv, yr(366722768), yl(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.58E-05,7.64E-05,7.72E-05,7.82E-05,0.00010523,4.09E-06,1759, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yr(366722768), WaitSend, yl(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.57E-05,7.64E-05,7.73E-05,7.85E-05,0.000106189,4.49E-06,883, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, WaitSend, yr(366722768), yl(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.57E-05,7.64E-05,7.72E-05,7.84E-05,9.86E-05,3.36E-06,1212, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitSend, WaitRecv, yl(366722768), yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.58E-05,7.64E-05,7.73E-05,7.83E-05,0.00010651,4.27E-06,2285, Start, PostRecv, Scatter(355893104), StreamSync(355893104), PostSend, WaitSend, WaitRecv, yl(355893104), yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.58E-05,7.64E-05,7.72E-05,7.83E-05,0.000107238,4.81E-06,1674, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yl(355893104), yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), WaitSend, End,
7.58E-05,7.64E-05,7.73E-05,7.85E-05,0.000105891,3.95E-06,811, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yl(355893104), WaitSend, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.57E-05,7.64E-05,7.73E-05,7.84E-05,0.000108539,4.73E-06,1086, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(355893104), yl(355893104), WaitSend, StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.57E-05,7.64E-05,7.73E-05,7.84E-05,0.000106146,4.54E-06,810, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yr(355893104), WaitSend, yl(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.58E-05,7.64E-05,7.73E-05,7.84E-05,0.000108556,4.89E-06,1076, Start, Scatter(355893104), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yl(355893104), yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), WaitSend, End,
7.58E-05,7.64E-05,7.74E-05,7.86E-05,0.000106974,4.06E-06,863, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitRecv, yl(366722768), WaitSend, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.59E-05,7.64E-05,7.72E-05,7.83E-05,0.000106843,3.99E-06,1676, Start, Scatter(355893104), PostRecv, StreamSync(355893104), PostSend, WaitRecv, yl(355893104), yr(355893104), StreamWait(366722768/355893104), y(366722768), WaitSend, StreamSync(366722768), End,
7.57E-05,7.64E-05,7.73E-05,7.84E-05,0.000106421,4.54E-06,901, Start, Scatter(355893104), StreamSync(355893104), PostRecv, PostSend, WaitSend, WaitRecv, yl(355893104), yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
