1pctl,10pctl,50pctl,90pct,99pct,stddev,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
7.16E-05,7.22E-05,7.29E-05,7.38E-05,0.000104644,5.05E-06,1461, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, PostRecv, WaitRecv, WaitSend, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.17E-05,7.22E-05,7.29E-05,7.39E-05,0.000103056,4.63E-06,1467, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, PostRecv, WaitSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.17E-05,7.22E-05,7.30E-05,7.40E-05,0.000103621,4.69E-06,1427, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostRecv, PostSend, WaitSend, WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.16E-05,7.22E-05,7.30E-05,7.38E-05,0.000104352,4.59E-06,1421, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostRecv, PostSend, WaitRecv, WaitSend, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.17E-05,7.23E-05,7.30E-05,7.39E-05,0.000104863,4.72E-06,2382, Start, PostRecv, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, WaitRecv, WaitSend, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.17E-05,7.23E-05,7.31E-05,7.41E-05,0.000103047,5.35E-06,1445, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), WaitSend, End,
7.16E-05,7.23E-05,7.31E-05,7.40E-05,0.000104835,4.32E-06,1469, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, PostRecv, WaitSend, WaitRecv, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
7.18E-05,7.23E-05,7.30E-05,7.39E-05,0.000102406,3.72E-06,1894, Start, Scatter(355893104), PostRecv, yl(366722768), StreamSync(355893104), PostSend, WaitRecv, WaitSend, yr(355893104), StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.18E-05,7.23E-05,7.31E-05,7.41E-05,0.000104806,4.97E-06,1451, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, PostRecv, WaitRecv, yr(355893104), WaitSend, StreamWait(366722768/355893104), y(366722768), StreamSync(366722768), End,
7.17E-05,7.23E-05,7.30E-05,7.40E-05,0.000103787,4.52E-06,1463, Start, Scatter(355893104), yl(366722768), StreamSync(355893104), PostSend, PostRecv, WaitRecv, WaitSend, yr(366722768), StreamWait(355893104/366722768), y(355893104), StreamSync(355893104), End,
