11|0.00167927|0.00170627|0.0017547|0.00175753|0.00175786|2.30359e-05|{"name":"start"}|{"name":"Scatter","stream":1}|{"name":"yl","stream":0}|{"name":"PostRecv"}|{"event":55,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":1}|{"event":55,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"PostSend"}|{"name":"WaitSend"}|{"name":"WaitRecv"}|{"name":"yr","stream":1}|{"event":56,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":1}|{"event":56,"kind":"CudaStreamWaitEvent","name":"CudaStreamWaitEvent-anon","stream":0}|{"name":"y","stream":0}|{"event":58,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":0}|{"event":58,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"end"}
12|0.00161138|0.00161421|0.00161652|0.00161798|0.0016187|1.48238e-06|{"name":"start"}|{"name":"yl","stream":1}|{"name":"Scatter","stream":0}|{"event":21,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":0}|{"name":"PostRecv"}|{"event":21,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"PostSend"}|{"name":"WaitSend"}|{"name":"WaitRecv"}|{"name":"yr","stream":1}|{"name":"y","stream":1}|{"event":61,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":1}|{"event":61,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"end"}
13|0.00189766|0.00192306|0.00192481|0.00192681|0.00192714|6.9915e-06|{"name":"start"}|{"name":"PostRecv"}|{"name":"yl","stream":0}|{"name":"Scatter","stream":0}|{"event":62,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":0}|{"event":62,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"PostSend"}|{"name":"WaitRecv"}|{"name":"yr","stream":0}|{"name":"WaitSend"}|{"name":"y","stream":0}|{"event":65,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":0}|{"event":65,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"end"}
14|0.0018976|0.00192157|0.00192385|0.00192542|0.00192665|3.98086e-06|{"name":"start"}|{"name":"PostRecv"}|{"name":"yl","stream":1}|{"name":"Scatter","stream":1}|{"event":66,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":1}|{"event":66,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"PostSend"}|{"name":"WaitRecv"}|{"name":"yr","stream":1}|{"name":"y","stream":1}|{"name":"WaitSend"}|{"event":68,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":1}|{"event":68,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"end"}
15|0.0019003|0.00190388|0.00192559|0.00192768|0.00192811|7.61924e-06|{"name":"start"}|{"name":"yl","stream":1}|{"name":"Scatter","stream":1}|{"event":26,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":1}|{"name":"PostRecv"}|{"event":26,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"PostSend"}|{"name":"WaitRecv"}|{"name":"WaitSend"}|{"name":"yr","stream":0}|{"event":26,"kind":"CudaStreamWaitEvent","name":"CudaStreamWaitEvent-anon","stream":0}|{"name":"y","stream":0}|{"event":70,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":0}|{"event":70,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"end"}
16|0.00192152|0.00192315|0.00192554|0.00192735|0.0019286|1.53363e-06|{"name":"start"}|{"name":"PostRecv"}|{"name":"Scatter","stream":0}|{"name":"yl","stream":0}|{"event":71,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":0}|{"event":71,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"PostSend"}|{"name":"WaitRecv"}|{"name":"WaitSend"}|{"name":"yr","stream":0}|{"event":72,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":0}|{"event":71,"kind":"CudaStreamWaitEvent","name":"CudaStreamWaitEvent-anon","stream":1}|{"event":72,"kind":"CudaStreamWaitEvent","name":"CudaStreamWaitEvent-anon","stream":1}|{"name":"y","stream":1}|{"event":73,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":1}|{"event":73,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"end"}
17|0.00192158|0.00192239|0.00192504|0.00192694|0.0019279|1.55494e-06|{"name":"start"}|{"name":"yl","stream":0}|{"name":"PostRecv"}|{"name":"Scatter","stream":0}|{"event":74,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":0}|{"event":74,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"PostSend"}|{"name":"WaitSend"}|{"name":"WaitRecv"}|{"name":"yr","stream":0}|{"event":75,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":0}|{"event":75,"kind":"CudaStreamWaitEvent","name":"CudaStreamWaitEvent-anon","stream":1}|{"name":"y","stream":1}|{"event":76,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":1}|{"event":76,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"end"}
18|0.00161548|0.0016169|0.00161787|0.00161931|0.00163916|3.09975e-06|{"name":"start"}|{"name":"Scatter","stream":1}|{"event":6,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":1}|{"event":6,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"PostSend"}|{"name":"PostRecv"}|{"name":"yl","stream":0}|{"name":"WaitSend"}|{"name":"WaitRecv"}|{"name":"yr","stream":0}|{"name":"y","stream":0}|{"event":79,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":0}|{"event":79,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"end"}
19|0.00192248|0.001924|0.0019254|0.00192689|0.00192731|1.11886e-06|{"name":"start"}|{"name":"Scatter","stream":1}|{"name":"yl","stream":1}|{"event":7,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":1}|{"name":"PostRecv"}|{"event":7,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"PostSend"}|{"name":"WaitSend"}|{"name":"WaitRecv"}|{"name":"yr","stream":0}|{"event":7,"kind":"CudaStreamWaitEvent","name":"CudaStreamWaitEvent-anon","stream":0}|{"name":"y","stream":0}|{"event":81,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":0}|{"event":81,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"end"}
20|0.00190027|0.00192404|0.00192543|0.00192703|0.00192758|3.71975e-06|{"name":"start"}|{"name":"yl","stream":1}|{"name":"PostRecv"}|{"name":"Scatter","stream":1}|{"event":82,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":1}|{"event":82,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"PostSend"}|{"name":"WaitSend"}|{"name":"WaitRecv"}|{"name":"yr","stream":0}|{"event":83,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":0}|{"event":83,"kind":"CudaStreamWaitEvent","name":"CudaStreamWaitEvent-anon","stream":1}|{"name":"y","stream":1}|{"event":84,"kind":"CudaEventRecord","name":"CudaEventRecord-anon","stream":1}|{"event":84,"kind":"CudaEventSync","name":"CudaEventSync-anon"}|{"name":"end"}
