1pctl,10pctl,50pctl,90pct,99pct,stddev,op,op,op,op,op,op,op,op,op,op,op,op,op,op,op
7.87354e-05,7.88618e-05,7.89666e-05,7.91584e-05,7.96675e-05,1.57636e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitRecv,WaitSend,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
8.65909e-05,8.74297e-05,8.89427e-05,8.92524e-05,8.94033e-05,6.91824e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
8.83619e-05,8.85148e-05,8.86591e-05,8.89252e-05,8.94774e-05,1.9271e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,WaitSend,end
7.71571e-05,7.7313e-05,7.74244e-05,7.75503e-05,7.76546e-05,9.72871e-08,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,WaitSend,CudaEventSync-after-y-b4-end,end
7.69547e-05,7.71824e-05,7.72609e-05,7.74087e-05,7.77125e-05,1.21338e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,WaitSend,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.69949e-05,7.70963e-05,7.7311e-05,7.76356e-05,7.87074e-05,2.77906e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,WaitSend,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.85214e-05,7.86308e-05,7.87791e-05,7.89375e-05,7.9802e-05,1.82115e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,WaitSend,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.8574e-05,7.87118e-05,7.88774e-05,7.90415e-05,7.97927e-05,1.89633e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.84378e-05,7.84862e-05,7.86215e-05,7.88896e-05,7.95485e-05,1.86701e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,PostRecv,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,WaitSend,end
7.71198e-05,7.71581e-05,7.7307e-05,7.74596e-05,7.81975e-05,1.7923e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,PostRecv,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,WaitSend,CudaEventSync-after-y-b4-end,end
7.70767e-05,7.71544e-05,7.7301e-05,7.74543e-05,7.7619e-05,1.14042e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,PostRecv,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,WaitSend,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.71236e-05,7.71688e-05,7.73123e-05,7.74824e-05,7.83885e-05,1.83607e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,PostRecv,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,WaitSend,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.85233e-05,7.86291e-05,7.88261e-05,7.90442e-05,7.94561e-05,1.6511e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,PostRecv,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,WaitSend,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.8689e-05,7.87247e-05,7.89198e-05,8.11106e-05,8.23977e-05,9.27892e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,PostRecv,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.87076e-05,7.87827e-05,7.89892e-05,7.92121e-05,7.96198e-05,1.70396e-07,start,yl,StreamWait-after-yl-b4-y,PostRecv,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,WaitSend,end
7.73644e-05,7.76965e-05,7.79428e-05,7.81886e-05,8.08937e-05,7.54022e-07,start,yl,StreamWait-after-yl-b4-y,PostRecv,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,WaitSend,CudaEventSync-after-y-b4-end,end
7.75961e-05,7.77479e-05,7.79754e-05,7.82339e-05,7.86227e-05,2.09595e-07,start,yl,StreamWait-after-yl-b4-y,PostRecv,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,WaitSend,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.75766e-05,7.7771e-05,7.79425e-05,7.81906e-05,7.85092e-05,1.64181e-07,start,yl,StreamWait-after-yl-b4-y,PostRecv,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,WaitSend,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.87448e-05,7.88559e-05,7.90186e-05,7.9143e-05,7.93993e-05,1.19237e-07,start,yl,StreamWait-after-yl-b4-y,PostRecv,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,WaitSend,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.89167e-05,7.8975e-05,7.91426e-05,7.92835e-05,7.97714e-05,1.54005e-07,start,yl,StreamWait-after-yl-b4-y,PostRecv,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.7096e-05,7.72336e-05,7.74008e-05,7.7566e-05,7.76332e-05,1.25223e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,WaitSend,end
7.582e-05,7.59741e-05,7.61185e-05,7.62728e-05,7.67536e-05,1.58744e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,WaitSend,CudaEventSync-after-y-b4-end,end
7.5805e-05,7.58764e-05,7.60056e-05,7.61434e-05,7.67342e-05,1.53305e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitRecv,yr,y,WaitSend,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.5685e-05,7.58445e-05,7.59897e-05,7.61484e-05,7.65863e-05,1.48672e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitRecv,yr,WaitSend,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.71653e-05,7.72878e-05,7.73865e-05,7.75239e-05,7.7694e-05,9.65452e-08,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitRecv,WaitSend,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.73272e-05,7.73804e-05,7.74729e-05,7.76401e-05,7.82003e-05,1.58481e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.70499e-05,7.73724e-05,7.75388e-05,7.79479e-05,8.0088e-05,5.0806e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,WaitSend,end
8.62173e-05,8.63724e-05,8.65599e-05,8.67647e-05,8.70073e-05,1.62768e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,WaitSend,CudaEventSync-after-y-b4-end,end
7.5768e-05,7.59182e-05,7.60942e-05,7.62741e-05,7.63245e-05,1.29796e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitRecv,yr,y,WaitSend,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.58526e-05,7.59887e-05,7.61386e-05,7.63562e-05,7.692e-05,1.81987e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitRecv,yr,WaitSend,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.73994e-05,7.74406e-05,7.75773e-05,7.77296e-05,7.78336e-05,1.02873e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitRecv,WaitSend,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.71742e-05,7.74836e-05,7.76493e-05,7.78335e-05,7.84118e-05,1.83666e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.69494e-05,7.71155e-05,7.72681e-05,7.75161e-05,7.75496e-05,1.39342e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,WaitSend,end
7.55969e-05,7.57121e-05,7.59215e-05,7.6128e-05,7.63178e-05,1.40347e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,WaitSend,CudaEventSync-after-y-b4-end,end
7.56359e-05,7.57282e-05,7.59273e-05,7.60851e-05,7.78568e-05,3.02738e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,WaitSend,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.55424e-05,7.57304e-05,7.59156e-05,7.60361e-05,7.62297e-05,1.23291e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,WaitSend,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.69568e-05,7.70162e-05,7.72626e-05,7.75126e-05,7.82032e-05,2.07582e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,WaitSend,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.69203e-05,7.71256e-05,7.73452e-05,7.86172e-05,7.95308e-05,5.70033e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,CudaEventRecord-after-Scatter-b4-PostSend,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.68978e-05,7.70506e-05,7.72012e-05,7.73772e-05,7.88138e-05,2.74807e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,PostRecv,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,WaitSend,end
7.55989e-05,7.57957e-05,7.60165e-05,7.66226e-05,7.70382e-05,3.16677e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,PostRecv,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,WaitSend,CudaEventSync-after-y-b4-end,end
7.57145e-05,7.58263e-05,7.59747e-05,7.62007e-05,7.64075e-05,1.46173e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,PostRecv,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,WaitSend,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.56016e-05,7.57566e-05,7.59529e-05,7.60671e-05,7.63905e-05,1.34753e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,PostRecv,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,WaitSend,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.70548e-05,7.71842e-05,7.73043e-05,7.74933e-05,7.80596e-05,1.68273e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,PostRecv,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,WaitSend,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.70551e-05,7.73079e-05,7.74906e-05,7.76203e-05,7.77503e-05,1.31328e-07,start,yl,Scatter,StreamWait-after-yl-b4-y,PostRecv,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,WaitSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.67437e-05,7.69535e-05,7.72598e-05,7.75329e-05,7.80629e-05,2.43278e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,WaitSend,end
7.57779e-05,7.59895e-05,7.61102e-05,7.62666e-05,7.63759e-05,1.11182e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,WaitSend,CudaEventSync-after-y-b4-end,end
7.58175e-05,7.59385e-05,7.6128e-05,7.63154e-05,7.65277e-05,1.37493e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitRecv,yr,y,WaitSend,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.58679e-05,7.6007e-05,7.61652e-05,7.85134e-05,7.98145e-05,9.72714e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitRecv,yr,WaitSend,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.73267e-05,7.7377e-05,7.74664e-05,7.78169e-05,8.02383e-05,7.12644e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitRecv,WaitSend,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.7363e-05,7.74178e-05,7.75468e-05,7.7702e-05,7.80701e-05,1.19828e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.683e-05,7.71736e-05,7.73997e-05,7.75599e-05,7.80809e-05,1.94814e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,WaitSend,end
7.60339e-05,7.61151e-05,7.62247e-05,7.63949e-05,7.66803e-05,1.28514e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,WaitSend,CudaEventSync-after-y-b4-end,end
7.59387e-05,7.60094e-05,7.6143e-05,7.63476e-05,7.68452e-05,1.54677e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitRecv,yr,y,WaitSend,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.59718e-05,7.60154e-05,7.61864e-05,7.63495e-05,7.69369e-05,1.63821e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitRecv,yr,WaitSend,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.72689e-05,7.74177e-05,7.75366e-05,7.77005e-05,7.77906e-05,1.02385e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitRecv,WaitSend,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.72989e-05,7.73999e-05,7.75365e-05,7.77223e-05,7.79293e-05,1.28098e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.68654e-05,7.69228e-05,7.71317e-05,7.73248e-05,7.79311e-05,1.72915e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,WaitSend,end
7.71147e-05,7.72604e-05,7.74809e-05,7.76534e-05,7.77198e-05,1.35933e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,WaitSend,CudaEventSync-after-y-b4-end,end
7.71318e-05,7.7262e-05,7.74008e-05,7.75595e-05,7.80864e-05,1.535e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,y,WaitSend,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.71645e-05,7.72581e-05,7.74497e-05,7.75946e-05,7.78085e-05,1.3974e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,yr,WaitSend,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.82866e-05,7.83968e-05,7.85396e-05,7.88038e-05,7.89499e-05,1.29664e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitRecv,WaitSend,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.82469e-05,7.85156e-05,7.86226e-05,7.87742e-05,7.92654e-05,1.38971e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,StreamWait-after-yl-b4-y,PostRecv,CudaEventSync-after-b4-PostSend,PostSend,WaitSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.85347e-05,7.86694e-05,7.88095e-05,7.90206e-05,7.96184e-05,1.65567e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,StreamWait-after-yl-b4-y,PostRecv,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,WaitSend,end
7.74855e-05,7.75811e-05,7.77472e-05,7.79439e-05,7.79952e-05,1.31724e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,StreamWait-after-yl-b4-y,PostRecv,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,WaitSend,CudaEventSync-after-y-b4-end,end
7.74807e-05,7.7628e-05,7.78153e-05,7.80705e-05,7.86935e-05,2.02234e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,StreamWait-after-yl-b4-y,PostRecv,PostSend,WaitRecv,yr,y,WaitSend,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.73876e-05,7.75588e-05,7.77908e-05,7.79597e-05,7.81367e-05,1.5195e-07,start,yl,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,StreamWait-after-yl-b4-y,PostRecv,PostSend,WaitRecv,yr,WaitSend,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
