1pctl,10pctl,50pctl,90pct,99pct,stddev,op,op,op,op,op,op,op,op,op,op,op,op,op,op,op
7.86737e-05,7.88187e-05,7.90152e-05,7.91435e-05,7.94811e-05,1.53205e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,WaitSend,end
7.75935e-05,7.76706e-05,7.78018e-05,7.80621e-05,7.82412e-05,1.42797e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,WaitSend,CudaEventSync-after-y-b4-end,end
7.7506e-05,7.76219e-05,7.78082e-05,7.80494e-05,7.90093e-05,2.32918e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitRecv,yr,y,WaitSend,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.73586e-05,7.76139e-05,7.7793e-05,7.79953e-05,7.83162e-05,1.61927e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitRecv,yr,WaitSend,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.86185e-05,7.87131e-05,7.88862e-05,7.90896e-05,7.96667e-05,1.7157e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitRecv,WaitSend,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.85521e-05,7.87868e-05,7.90106e-05,7.91816e-05,7.93408e-05,1.50688e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostRecv,PostSend,WaitSend,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.85464e-05,7.87271e-05,7.8948e-05,7.90963e-05,7.95845e-05,1.73359e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,WaitSend,end
7.75671e-05,7.76745e-05,7.78133e-05,7.79662e-05,7.86179e-05,1.67681e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitRecv,yr,y,CudaEventRecord-after-y-b4-end,WaitSend,CudaEventSync-after-y-b4-end,end
7.759e-05,7.76786e-05,7.78484e-05,7.80418e-05,7.8582e-05,1.65867e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitRecv,yr,y,WaitSend,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
7.75305e-05,7.76065e-05,7.78372e-05,7.80225e-05,7.80857e-05,1.44504e-07,start,yl,StreamWait-after-yl-b4-y,Scatter,CudaEventRecord-after-Scatter-b4-PostSend,CudaEventSync-after-b4-PostSend,PostSend,PostRecv,WaitRecv,yr,WaitSend,y,CudaEventRecord-after-y-b4-end,CudaEventSync-after-y-b4-end,end
