0|7.3246e-05|7.33438e-05|7.3434e-05|7.3597e-05|7.37268e-05|1.54046e-07|{"name":"start"}|{"name":"Scatter","stream":1}|{"name":"yl","stream":1}|{"name":"PostRecv"}|{"event":0,"kind":"CudaEventRecord","name":"CER-anon","stream":1}|{"event":0,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"PostSend"}|{"name":"WaitSend"}|{"name":"WaitRecv"}|{"name":"yr","stream":0}|{"event":0,"kind":"CudaStreamWaitEvent","name":"CSWE-anon","stream":0}|{"name":"y","stream":0}|{"event":1,"kind":"CudaEventRecord","name":"CER-anon","stream":0}|{"event":1,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"end"}
1|7.40028e-05|7.41092e-05|7.42256e-05|7.44392e-05|7.46518e-05|1.30542e-07|{"name":"start"}|{"name":"PostRecv"}|{"name":"yl","stream":1}|{"name":"Scatter","stream":1}|{"event":0,"kind":"CudaEventRecord","name":"CER-anon","stream":1}|{"event":0,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"PostSend"}|{"name":"WaitSend"}|{"name":"WaitRecv"}|{"name":"yr","stream":0}|{"event":1,"kind":"CudaEventRecord","name":"CER-anon","stream":0}|{"event":1,"kind":"CudaStreamWaitEvent","name":"CSWE-anon","stream":1}|{"name":"y","stream":1}|{"event":2,"kind":"CudaEventRecord","name":"CER-anon","stream":1}|{"event":2,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"end"}
2|7.3176e-05|7.33495e-05|7.34438e-05|7.35751e-05|7.39119e-05|1.06293e-07|{"name":"start"}|{"name":"yl","stream":1}|{"name":"Scatter","stream":1}|{"name":"PostRecv"}|{"event":0,"kind":"CudaEventRecord","name":"CER-anon","stream":1}|{"event":0,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"PostSend"}|{"name":"WaitRecv"}|{"name":"WaitSend"}|{"name":"yr","stream":1}|{"event":0,"kind":"CudaStreamWaitEvent","name":"CSWE-anon","stream":0}|{"event":1,"kind":"CudaEventRecord","name":"CER-anon","stream":1}|{"event":1,"kind":"CudaStreamWaitEvent","name":"CSWE-anon","stream":0}|{"name":"y","stream":0}|{"event":2,"kind":"CudaEventRecord","name":"CER-anon","stream":0}|{"event":2,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"end"}
3|5.62068e-05|5.63723e-05|5.6662e-05|5.68502e-05|5.70933e-05|1.9255e-07|{"name":"start"}|{"name":"PostRecv"}|{"name":"Scatter","stream":1}|{"event":0,"kind":"CudaEventRecord","name":"CER-anon","stream":1}|{"name":"yl","stream":1}|{"event":0,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"PostSend"}|{"name":"WaitSend"}|{"name":"WaitRecv"}|{"name":"yr","stream":1}|{"name":"y","stream":1}|{"event":1,"kind":"CudaEventRecord","name":"CER-anon","stream":1}|{"event":1,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"end"}
4|6.07598e-05|6.08925e-05|6.09927e-05|6.11291e-05|6.15835e-05|1.24764e-07|{"name":"start"}|{"name":"yl","stream":1}|{"name":"Scatter","stream":0}|{"name":"PostRecv"}|{"event":0,"kind":"CudaEventRecord","name":"CER-anon","stream":0}|{"event":0,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"PostSend"}|{"name":"WaitRecv"}|{"name":"yr","stream":1}|{"name":"y","stream":1}|{"name":"WaitSend"}|{"event":1,"kind":"CudaEventRecord","name":"CER-anon","stream":1}|{"event":1,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"end"}
5|5.57076e-05|5.57894e-05|5.59096e-05|5.60282e-05|5.61813e-05|1.23794e-07|{"name":"start"}|{"name":"Scatter","stream":1}|{"name":"PostRecv"}|{"name":"yl","stream":0}|{"event":0,"kind":"CudaEventRecord","name":"CER-anon","stream":1}|{"event":0,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"PostSend"}|{"name":"WaitSend"}|{"name":"WaitRecv"}|{"name":"yr","stream":0}|{"name":"y","stream":0}|{"event":1,"kind":"CudaEventRecord","name":"CER-anon","stream":0}|{"event":1,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"end"}
6|5.61459e-05|5.62973e-05|5.63843e-05|5.6521e-05|5.67506e-05|1.04288e-07|{"name":"start"}|{"name":"PostRecv"}|{"name":"Scatter","stream":1}|{"name":"yl","stream":0}|{"event":0,"kind":"CudaEventRecord","name":"CER-anon","stream":1}|{"event":0,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"PostSend"}|{"name":"WaitSend"}|{"name":"WaitRecv"}|{"name":"yr","stream":0}|{"event":1,"kind":"CudaEventRecord","name":"CER-anon","stream":0}|{"event":1,"kind":"CudaStreamWaitEvent","name":"CSWE-anon","stream":1}|{"name":"y","stream":1}|{"event":2,"kind":"CudaEventRecord","name":"CER-anon","stream":1}|{"event":2,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"end"}
7|5.48727e-05|5.55121e-05|5.57901e-05|5.58821e-05|5.72279e-05|2.98907e-07|{"name":"start"}|{"name":"Scatter","stream":1}|{"name":"yl","stream":0}|{"event":0,"kind":"CudaEventRecord","name":"CER-anon","stream":1}|{"name":"PostRecv"}|{"event":0,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"PostSend"}|{"name":"WaitRecv"}|{"name":"yr","stream":0}|{"name":"y","stream":0}|{"name":"WaitSend"}|{"event":1,"kind":"CudaEventRecord","name":"CER-anon","stream":0}|{"event":1,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"end"}
8|6.18251e-05|6.19102e-05|6.20267e-05|6.22825e-05|6.25054e-05|1.45958e-07|{"name":"start"}|{"name":"Scatter","stream":1}|{"event":0,"kind":"CudaEventRecord","name":"CER-anon","stream":1}|{"event":0,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"PostRecv"}|{"name":"yl","stream":0}|{"name":"PostSend"}|{"name":"WaitRecv"}|{"name":"WaitSend"}|{"name":"yr","stream":0}|{"event":1,"kind":"CudaEventRecord","name":"CER-anon","stream":0}|{"event":1,"kind":"CudaStreamWaitEvent","name":"CSWE-anon","stream":1}|{"name":"y","stream":1}|{"event":2,"kind":"CudaEventRecord","name":"CER-anon","stream":1}|{"event":2,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"end"}
9|6.11696e-05|6.18099e-05|6.23528e-05|6.25991e-05|6.33351e-05|3.59451e-07|{"name":"start"}|{"name":"PostRecv"}|{"name":"yl","stream":1}|{"name":"Scatter","stream":0}|{"event":0,"kind":"CudaEventRecord","name":"CER-anon","stream":0}|{"event":0,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"PostSend"}|{"name":"WaitSend"}|{"name":"WaitRecv"}|{"name":"yr","stream":1}|{"event":1,"kind":"CudaEventRecord","name":"CER-anon","stream":1}|{"event":1,"kind":"CudaStreamWaitEvent","name":"CSWE-anon","stream":0}|{"name":"y","stream":0}|{"event":2,"kind":"CudaEventRecord","name":"CER-anon","stream":0}|{"event":2,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"end"}
10|6.23745e-05|6.32435e-05|6.38538e-05|6.42532e-05|6.48207e-05|4.52807e-07|{"name":"start"}|{"name":"yl","stream":1}|{"name":"PostRecv"}|{"name":"Scatter","stream":0}|{"event":0,"kind":"CudaEventRecord","name":"CER-anon","stream":0}|{"event":0,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"PostSend"}|{"name":"WaitRecv"}|{"name":"yr","stream":0}|{"name":"WaitSend"}|{"event":1,"kind":"CudaEventRecord","name":"CER-anon","stream":1}|{"event":1,"kind":"CudaStreamWaitEvent","name":"CSWE-anon","stream":0}|{"name":"y","stream":0}|{"event":2,"kind":"CudaEventRecord","name":"CER-anon","stream":0}|{"event":2,"kind":"CudaEventSync","name":"CES-anon"}|{"name":"end"}
